Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,States,Counties
2020,WI,Wisconsin,Jackson,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,62.6,,,59.1,65.9,20630,55053,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,14.8,,,13.8,15.8,20630,55053,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,36,,,34.2,37.7,20630,55053,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-90.7995104 44.3245897),41,874
2019,WI,Wisconsin,Jackson,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,54.3,,,53.1,55.5,20630,55053,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,25.2,,,24.2,26.2,20630,55053,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-90.7995104 44.3245897),41,874
2019,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,30.6,,,29.4,31.8,20630,55053,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,6.5,,,5.7,7.3,20630,55053,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,12.6,,,10.6,14.9,20630,55053,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.4,,,3.1,3.7,20630,55053,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,9.3,,,8.7,9.9,20630,55053,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.7,,,7.3,8.1,20630,55053,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,2.9,,,2.6,3.3,20630,55053,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,24.8,,,22.2,27.4,20630,55053,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.9,,,9.5,10.4,20630,55053,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,71.4,,,66.8,75.8,20630,55053,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,11.5,,,10.7,12.4,20630,55053,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-90.7995104 44.3245897),41,874
2019,WI,Wisconsin,Jackson,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,81.1,,,79.8,82.4,20630,55053,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,22.3,,,21.4,23.1,20630,55053,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,19.9,,,17.2,22.6,20630,55053,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,61.3,,,57.7,64.6,20630,55053,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,12,,,10.0,14.1,20630,55053,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,71.6,,,67.1,75.7,20630,55053,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,13.7,,,12.1,15.3,20630,55053,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,38.2,,,29.9,47.5,20630,55053,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,15.2,,,13.4,17.2,20630,55053,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,72.2,,,71.0,73.4,20630,55053,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,21.4,,,20.3,22.6,20630,55053,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,38.6,,,30.2,48.1,20630,55053,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,36,,,34.3,37.7,20630,55053,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,23.1,,,21.9,24.2,20630,55053,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,75,,,73.9,76.0,20630,55053,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,31.3,,,29.9,32.9,20630,55053,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,12,,,8.2,16.4,20630,55053,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,13.7,,,12.9,14.6,20630,55053,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,20.9,,,17.9,23.8,20630,55053,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,81.6,,,78.8,84.3,20630,55053,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,82.1,,,79.5,84.6,20630,55053,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,10.5,,,9.6,11.5,20630,55053,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,33.1,,,26.4,40.8,20630,55053,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-90.7995104 44.3245897),41,874
2019,WI,Wisconsin,Jackson,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,78.1,,,76.5,79.7,20630,55053,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-90.7995104 44.3245897),41,874
2019,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,35.4,,,34.0,36.7,20630,55053,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-90.7995104 44.3245897),41,874
2019,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,28.8,,,27.9,29.7,20630,55053,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6,,,5.7,6.4,20630,55053,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,12.7,,,8.7,17.6,20630,55053,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.8,,,2.6,3.0,20630,55053,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-90.7995104 44.3245897),41,874
2020,WI,Wisconsin,Jackson,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,7.9,,,6.8,9.0,20630,55053,HLTHOUT,COPD,CrdPrv,COPD,POINT (-90.7995104 44.3245897),41,874
2020,WV,West Virginia,Jackson,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8.1,,,7.6,8.6,28453,54035,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,82.4,,,81.4,83.3,28453,54035,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,13.3,,,11.9,14.7,28453,54035,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,82.6,,,80.0,85.3,28453,54035,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,18.8,,,16.2,21.3,28453,54035,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,24.3,,,20.0,28.0,28453,54035,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-81.6777168 38.8342339),42,2830
2019,WV,West Virginia,Jackson,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,81.1,,,80.0,82.2,28453,54035,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,4.1,,,3.6,4.7,28453,54035,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,14.4,,,13.3,15.5,28453,54035,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,71.2,,,66.4,76.0,28453,54035,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,3.1,,,2.8,3.5,28453,54035,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6,,,5.7,6.4,28453,54035,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-81.6777168 38.8342339),42,2830
2019,WV,West Virginia,Jackson,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,37.5,,,36.1,39.0,28453,54035,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,12.2,,,10.5,13.9,28453,54035,HLTHOUT,COPD,CrdPrv,COPD,POINT (-81.6777168 38.8342339),42,2830
2019,WV,West Virginia,Jackson,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,39.9,,,38.7,41.2,28453,54035,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,18.7,,,17.0,20.1,28453,54035,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,29.3,,,25.8,32.3,28453,54035,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-81.6777168 38.8342339),42,2830
2019,WV,West Virginia,Jackson,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,85,,,83.3,86.6,28453,54035,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15,,,13.5,16.7,28453,54035,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,9.9,,,8.5,11.3,28453,54035,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.9,,,2.7,3.1,28453,54035,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,27.9,,,26.3,29.6,28453,54035,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,11.2,,,10.7,11.9,28453,54035,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,11.5,,,10.8,12.2,28453,54035,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,32.8,,,31.2,34.3,28453,54035,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,23.1,,,19.4,26.5,28453,54035,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,36,,,28.4,43.7,28453,54035,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,27.3,,,23.9,30.4,28453,54035,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,7.2,,,6.5,7.9,28453,54035,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-81.6777168 38.8342339),42,2830
2019,WV,West Virginia,Jackson,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,87.9,,,86.5,89.0,28453,54035,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,40.1,,,38.4,41.8,28453,54035,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,37,,,35.1,38.8,28453,54035,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,13.8,,,13.0,14.6,28453,54035,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,55.2,,,50.8,59.6,28453,54035,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,72.9,,,69.8,75.9,28453,54035,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,11.2,,,10.3,12.1,28453,54035,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,38.2,,,36.3,39.9,28453,54035,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,11.7,,,9.3,14.4,28453,54035,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-81.6777168 38.8342339),42,2830
2020,WV,West Virginia,Jackson,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,51.3,,,42.0,60.3,28453,54035,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-81.6777168 38.8342339),42,2830
